State,CD,Name,Incumbent,Party,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,GOP,PVI,,,,,,,
FL,10,FL10,"Demings, Val",(D),61.8,34.9,60.7,38.4,60.9,38.5,61%,39%,8.26,,,,,,,
FL,11,FL11,"Webster, Dan",(R),32.5,64.8,39.8,59.2,42.6,56.1,42%,58%,11.32,,,,,,,
FL,12,FL12,"Bilirakis, Gus",(R),38.8,57.4,45.5,53,47.4,51.2,47%,53%,5.87,,,,,,,
FL,13,FL13,"Crist, Charlie",(D),49.6,46.4,54.6,43.9,55.5,43,56%,44%,2.89,,,,,,,
FL,14,FL14,"Castor, Kathy",(D),57.2,39,57.6,41.2,58.1,40.9,58%,42%,5.49,,,,,,,
FL,15,FL15,"Ross, Dennis",(R),43.1,53.1,46.6,52.2,46.7,52.1,47%,53%,5.78,,,,,,,
FL,16,FL16,"Buchanan, Vern",(R),43,53.7,45.1,53.7,47.7,51.2,47%,53%,6.06,,,,,,,
FL,17,FL17,"Rooney, Tom",(R),35,62.2,41.3,57.6,43.9,54.7,43%,57%,9.86,,,,,,,
FL,18,FL18,"Mast, Brian",(R),44.1,53.3,47.7,51.4,51.2,47.9,50%,50%,3.1,,,,,,,
FL,19,FL19,"Rooney, Francis",(R),37.5,59.6,38.7,60.5,42.3,56.8,41%,59%,12.15,,,,,,,
FL,20,FL20,"Hastings, Alcee",(D),80.2,18.1,82.5,17.1,80.9,18.6,82%,18%,29.07,,,,,,,
FL,21,FL21,"Frankel, Lois",(D),58.6,39.1,60.4,38.9,63.4,35.9,62%,38%,9.34,,,,,,,
FL,22,FL22,"Deutch, Ted",(D),56.8,41,56.3,43,58.3,41,58%,42%,4.7,,,,,,,
FL,23,FL23,"Wasserman Schultz, Debbie",(D),61.9,35.8,61.4,38,62,37.3,62%,38%,9.1,,,,,,,
FL,24,FL24,"Wilson, Frederica",(D),82.9,15.4,85.7,13.9,84,15.6,85%,15%,32.19,,,,,,,
FL,25,FL25,"Diaz-Balart, Mario",(R),47.9,49.7,44.9,54.5,40.6,58.8,43%,57%,9.99,,,,,,,
FL,26,FL26,"Curbelo, Carlos",(R),56.8,40.5,55.4,43.9,51.5,47.9,54%,46%,0.8,,,,,,,
FL,27,FL27,"Ros-Lehtinen, Ileana",(R),58.5,38.9,53,46.3,50.1,49.3,52%,48%,1.11,,,,,,,
GA,01,GA01,"Carter, Buddy",(R),40.9,56.4,43,55.9,44.4,55,44%,56%,8.93,,,,,,,
GA,02,GA02,"Bishop, Sanford",(D),55,43.3,58.6,40.8,57.9,41.6,59%,41%,5.57,,,,,,,
GA,03,GA03,"Ferguson, Drew",(R),32.8,64.3,33,65.9,34,65.3,34%,66%,19.2,,,,,,,
GA,04,GA04,"Johnson, Hank",(D),75.3,22.2,73.6,25.6,73.2,26.3,74%,26%,20.88,,,,,,,
GA,05,GA05,"Lewis, John",(D),85,11.9,83.1,15.8,84.4,15,84%,16%,31.47,,,,,,,
