1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME (Last; First),TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)"
2385,Michigan,MI,1,H0MI01146,,Tom,Stillings,Stillings; Tom,,REP,5418,7.63%,,,,,,
2386,Michigan,MI,1,H8MI01115,,Linda,Goldthorpe,Goldthorpe; Linda,,REP,4980,7.01%,,,,,,
2387,Michigan,MI,1,H0MI01187,,Don,Hooper,Hooper; Don,,REP,3969,5.59%,,,,,,
2388,Michigan,MI,1,H0MI01179,,Patrick,Donlon,Donlon; Patrick,,REP,2490,3.51%,,,,,,
2389,Michigan,MI,1,n/a,,,,,Party Votes:,REP,70996,,,,,,,
2390,Michigan,MI,1,H0MI01153,,Gary,McDowell,McDowell; Gary,,DEM,27996,100.00%,,,94824,40.87%,,
2391,Michigan,MI,1,n/a,,,,,Party Votes:,DEM,27996,,,,,,,
2392,Michigan,MI,1,H0MI01161,,Glenn A.,Wilson,Wilson; Glenn A.,,NPA,,,,,7847,3.38%,,
2393,Michigan,MI,1,H0MI01112,,Patrick,Lambert,Lambert; Patrick,,UST,*,,,,4200,1.81%,,
2394,Michigan,MI,1,H0MI01195,,Keith,Shelton,Shelton; Keith,,LIB,*,,,,2571,1.11%,,
2395,Michigan,MI,1,H0MI01187,,Ellis,Boal,Boal; Ellis,,GRE,*,,,,2072,0.89%,,
2396,Michigan,MI,1,n/a,,,,,District Votes:,,98992,,,,232037,,,
2397,Michigan,MI,,n/a,,,,,,,,,,,,,,
2398,Michigan,MI,2,H0MI02094,,Bill,Huizenga,Huizenga; Bill,,REP,27041,25.40%,,,148864,65.27%,,
2399,Michigan,MI,2,H0MI02102,,Jay,Riemersma,Riemersma; Jay,,REP,26378,24.77%,,,,,,
2400,Michigan,MI,2,H0MI02128,,Wayne D.,Kuipers,Kuipers; Wayne D.,,REP,23226,21.81%,,,,,,
2401,Michigan,MI,2,H0MI02110,,Bill,Cooper,Cooper; Bill,,REP,20584,19.33%,,,,,,
2402,Michigan,MI,2,H0MI02144,,Field,Reichardt,Reichardt; Field,,REP,4517,4.24%,,,,,,
2403,Michigan,MI,2,H0MI02151,,Ted,Schendel,Schendel; Ted,,REP,2401,2.25%,,,,,,
2404,Michigan,MI,2,H0MI02177,,Chris,Larson,Larson; Chris,,REP,2332,2.19%,,,,,,
2405,Michigan,MI,2,n/a,,,,,Party Votes:,REP,106479,,,,,,,
2406,Michigan,MI,2,H8MI02097 ,,Fred,Johnson,Johnson; Fred,,DEM,12375,59.94%,,,72118,31.62%,,
2407,Michigan,MI,2,H0MI02136,,Nicolette,McClure,McClure; Nicolette,,DEM,8272,40.06%,,,,,,
2408,Michigan,MI,2,n/a,,,,,Party Votes:,DEM,20647,,,,,,,
2409,Michigan,MI,2,H0MI02086,,Ronald E.,Graeser,Graeser; Ronald E.,,UST,*,,,,2379,1.04%,,
2410,Michigan,MI,2,H0MI02185,,Lloyd,Clarke,Clarke; Lloyd,,GRE,*,,,,2016,0.88%,,
2411,Michigan,MI,2,H0MI02193,,Joseph,Gillotte,Gillotte; Joseph,,LIB,*,,,,2701,1.18%,,
2412,Michigan,MI,2,n/a,,,,,District Votes:,,127126,,,,228078,,,
2413,Michigan,MI,,n/a,,,,,,,,,,,,,,
2414,Michigan,MI,3,H0MI03126,,Justin,Amash,Amash; Justin,,REP,38569,40.35%,,,133714,59.68%,,
2415,Michigan,MI,3,H0MI03134,,Steve,Heacock,Heacock; Steve,,REP,25157,26.32%,,,,,,
2416,Michigan,MI,3,H0MI03159,,Bill,Hardiman,Hardiman; Bill,,REP,22715,23.76%,,,,,,
2417,Michigan,MI,3,H0MI03142,,Bob,Overbeek,Overbeek; Bob,,REP,5133,5.37%,,,,,,
2418,Michigan,MI,3,H0MI03167,,Louise E.,Johnson,Johnson; Louise E.,,REP,4020,4.21%,,,,,,
2419,Michigan,MI,3,n/a,,,,,Party Votes:,REP,95594,,,,,,,
2420,Michigan,MI,3,H0MI03175,,Pat,Miles,Miles; Pat,,DEM,14114,68.53%,,,83953,37.47%,,
2421,Michigan,MI,3,H0MI03183,,Paul,Mayhue,Mayhue; Paul,,DEM,6480,31.47%,,,,,,
2422,Michigan,MI,3,n/a,,,,,Party Votes:,DEM,20594,,,,,,,
2423,Michigan,MI,3,H0MI03217,,James,Rogers,Rogers; James,,LIB,*,,,,2677,1.19%,,
2424,Michigan,MI,3,H0MI03209,,Ted,Gerrard,Gerrard; Ted,,UST,*,,,,2144,0.96%,,
2425,Michigan,MI,3,H0MI03225,,Charlie,Shick,Shick; Charlie,,GRE,*,,,,1575,0.70%,,
2426,Michigan,MI,3,n/a,,,,,District Votes:,,116188,,,,224063,,,
2427,Michigan,MI,,n/a,,,,,,,,,,,,,,
2428,Michigan,MI,4,H0MI10071,(I),Dave,Camp,Camp; Dave,,REP,76619,100.00%,,,148531,66.20%,,
2429,Michigan,MI,4,n/a,,,,,Party Votes:,REP,76619,,,,,,,
2430,Michigan,MI,4,H0MI04090,,Jerry M.,Campbell,Campbell; Jerry M.,,DEM,20951,100.00%,,,68458,30.51%,,
2431,Michigan,MI,4,n/a,,,,,Party Votes:,DEM,20951,,,,,,,
2432,Michigan,MI,4,H0MI04082,,John,Emerick,Emerick; John,,UST,*,,,,3861,1.72%,,
2433,Michigan,MI,4,H8MI05058,,Clint,Foster,Foster; Clint,,LIB,*,,,,3504,1.56%,,
2434,Michigan,MI,4,n/a,,,,,District Votes:,,97570,,,,224354,,,
2435,Michigan,MI,,n/a,,,,,,,,,,,,,,
2436,Michigan,MI,5,H6MI07108,(I),Dale,Kildee,Kildee; Dale,,DEM,34902,78.43%,,,107286,53.04%,,
2437,Michigan,MI,5,H0MI05071,,Scott,Withers,Withers; Scott,,DEM,9596,21.57%,,,,,,
2438,Michigan,MI,5,n/a,,,,,Party Votes:,DEM,44498,,,,,,,
2439,Michigan,MI,5,H0MI05089,,John,Kupiec,Kupiec; John,,REP,22177,55.69%,,,89680,44.34%,,
2440,Michigan,MI,5,H0MI05063,,Rick,Wilson,Wilson; Rick,,REP,17643,44.31%,,,,,,
2441,Michigan,MI,5,n/a,,,,,Party Votes:,REP,39820,,,,,,,
2442,Michigan,MI,5,H0MI05105,,Matthew J.,de Hues,de Hues; Matthew J.,,GRE,*,,,,2649,1.31%,,
2443,Michigan,MI,5,H0MI05113,,Michael J.,Moon,Moon; Michael J.,,LIB,*,,,,2648,1.31%,,
2444,Michigan,MI,5,n/a,,,,,District Votes:,,84318,,,,202263,,,
2445,Michigan,MI,,n/a,,,,,,,,,,,,,,
2446,Michigan,MI,6,H6MI04113,(I),Fred,Upton,Upton; Fred,,REP,42182,57.12%,,,123142,61.98%,,
2447,Michigan,MI,6,H0MI06103,,Jack,Hoogendyk,Hoogendyk; Jack,,REP,31660,42.88%,,,,,,
2448,Michigan,MI,6,n/a,,,,,Party Votes:,REP,73842,,,,,,,
2449,Michigan,MI,6,H8MI06098,,Don,Cooney,Cooney; Don,,DEM,18060,100.00%,,,66729,33.58%,,
2450,Michigan,MI,6,n/a,,,,,Party Votes:,DEM,18060,,,,,,,
2451,Michigan,MI,6,H0MI06137,,Melvin D.,Valkner,Valkner; Melvin D.,,UST,*,,,,3672,1.85%,,
2452,Michigan,MI,6,H0MI06129,,Patrick,Miller,Miller; Patrick,,UST,,,,,,,,
2453,Michigan,MI,6,H2MI02082,,Fred,Strand,Strand; Fred,,LIB,*,,,,3369,1.70%,,
2454,Michigan,MI,6,H0MI06145,,Pat,Foster,Foster; Pat,,GRE,*,,,,1784,0.90%,,
2455,Michigan,MI,6,n/a,,,,,District Votes:,,91902,,,,198696,,,
2456,Michigan,MI,,n/a,,,,,,,,,,,,,,
2457,Michigan,MI,7,H4MI07103,,Tim,Walberg,Walberg; Tim,,REP,41784,57.47%,,,113185,50.16%,,
2458,Michigan,MI,7,H0MI07077,,Brian,Rooney,Rooney; Brian,,REP,23505,32.33%,,,,,,
2459,Michigan,MI,7,H0MI07069,,Marvin,Carlson,Carlson; Marvin,,REP,7413,10.20%,,,,,,
2460,Michigan,MI,7,n/a,,,,,Party Votes:,REP,72702,,,,,,,
2461,Michigan,MI,7,H8MI07096,(I),Mark,Schauer,Schauer; Mark,,DEM,23806,100.00%,,,102402,45.38%,,
2462,Michigan,MI,7,n/a,,,,,Party Votes:,DEM,23806,,,,,,,
2463,Michigan,MI,7,H0MI07051,,Scott Eugene,Aughney,Aughney; Scott Eugene,,UST,*,,,,3705,1.64%,,
2464,Michigan,MI,7,H0MI07101,,Greg,Merle,Merle; Greg,,LIB,*,,,,3239,1.44%,,
2465,Michigan,MI,7,H0MI07119,,Richard,Wunsch,Wunsch; Richard,,GRE,*,,,,3117,1.38%,,
2466,Michigan,MI,7,H0MI07093,,Danny,Davis,Davis; Danny,,W,,,,,21,0.01%,,
2467,Michigan,MI,7,n/a,,,,,District Votes:,,96508,,,,225669,,,
2468,Michigan,MI,,n/a,,,,,,,,,,,,,,
2469,Michigan,MI,8,H0MI08042,(I),Mike,Rogers,Rogers; Mike,,REP,78047,99.98%,,,156931,64.08%,,
2470,Michigan,MI,8,H0MI08117,,Eric,Harvey,Harvey; Eric,,W(REP)/W,19,0.02%,,,2,0.00%,,
2471,Michigan,MI,8,n/a,,,,,Party Votes:,REP,78066,,,,,,,
2472,Michigan,MI,8,H0MI08091,,Lance,Enderle,Enderle; Lance #,,DEM,1703,6.01%,,,84069,34.33%,,
2473,Michigan,MI,8,H0MI08083,,Kande,Ngalamulume,Ngalamulume; Kande #,,DEM,26653,93.99%,,,,,,
2474,Michigan,MI,8,n/a,,,,,Party Votes:,DEM,28356,,,,,,,
2475,Michigan,MI,8,H0MI08109,,Bhagwan,Dashairya,Dashairya; Bhagwan,,LIB,*,,,,3881,1.58%,,
2476,Michigan,MI,8,n/a,,Katherine,Houston,Houston; Katherine,,W,,,,,11,0.00%,,
2477,Michigan,MI,8,n/a,,,,,District Votes:,,106422,,,,244894,,,
2478,Michigan,MI,,n/a,,,,,,,,,,,,,,
2479,Michigan,MI,9,H8MI09068,(I),Gary,Peters,Peters; Gary,,DEM,37843,100.00%,,,125730,49.76%,,
2480,Michigan,MI,9,n/a,,,,,Party Votes:,DEM,37843,,,,,,,
2481,Michigan,MI,9,H0MI09115,,Rocky,Raczkowski,Raczkowski; Rocky,,REP,33459,41.97%,,,119325,47.23%,,
2482,Michigan,MI,9,H0MI09107,,Paul,Welday,Welday; Paul,,REP,22298,27.97%,,,,,,
2483,Michigan,MI,9,H0MI09131,,Richard D.,Kuhn,Kuhn; Richard D.,,REP,15949,20.01%,,,,,,
2484,Michigan,MI,9,H0MI09149,,Anna,Janek,Janek; Anna,,REP,8006,10.04%,,,,,,
2485,Michigan,MI,9,n/a,,,,,Party Votes:,REP,79712,,,,,,,
2486,Michigan,MI,9,H6MI09161,,Adam,Goodman,Goodman; Adam,,LIB,*,,,,2601,1.03%,,
2487,Michigan,MI,9,H8MI09084,,Douglas,Campbell,Campbell; Douglas,,GRE,*,,,,2484,0.98%,,
2488,Michigan,MI,9,H0MI09149,,Bob,Gray,Gray; Bob,,NPA,,,,,1866,0.74%,,
2489,Michigan,MI,9,H0MI09164,,Matthew ,Kuofie,Kuofie; Matthew ,,NPA,,,,,644,0.25%,,
2490,Michigan,MI,9,n/a,,,,,District Votes:,,117555,,,,252650,,,
2491,Michigan,MI,,n/a,,,,,,,,,,,,,,
2492,Michigan,MI,10,H6MI12181,(I),Candice S.,Miller,Miller; Candice S.,,REP,84426,100.00%,,,168364,71.97%,,
2493,Michigan,MI,10,n/a,,,,,Party Votes:,REP,84426,,,,,,,
2494,Michigan,MI,10,H0MI10212,,Henry,Yanez,Yanez; Henry,,DEM,23310,100.00%,,,58530,25.02%,,
2495,Michigan,MI,10,n/a,,,,,Party Votes:,DEM,23310,,,,,,,
2496,Michigan,MI,10,H0MI10220,,Claude,Beavers,Beavers; Claude,,LIB,*,,,,3750,1.60%,,
2497,Michigan,MI,10,H6MI10177,,Candace R.,Caveny,Caveny; Candace R.,,GRE,*,,,,3286,1.40%,,
2498,Michigan,MI,10,n/a,,,,,District Votes:,,107736,,,,233930,,,
2499,Michigan,MI,,n/a,,,,,,,,,,,,,,
2500,Michigan,MI,11,H2MI00037,(I),Thaddeus G.,McCotter,McCotter; Thaddeus G.,,REP,65688,100.00%,,,141224,59.27%,,
2501,Michigan,MI,11,n/a,,,,,Party Votes:,REP,65688,,,,,,,
2502,Michigan,MI,11,H0MI11087,,Natalie,Mosher,Mosher; Natalie,,DEM,27295,100.00%,,,91710,38.49%,,
2503,Michigan,MI,11,n/a,,,,,Party Votes:,DEM,27295,,,,,,,
2504,Michigan,MI,11,H8MI11247,,John J.,Tatar,Tatar; John J.,,LIB,*,,,,5353,2.25%,,
2505,Michigan,MI,11,n/a,,,,,District Votes:,,92983,,,,238287,,,
2506,Michigan,MI,,n/a,,,,,,,,,,,,,,
2507,Michigan,MI,12,H2MI17023,(I),Sander,Levin,Levin; Sander,,DEM,42732,76.02%,,,124671,61.08%,,
2508,Michigan,MI,12,H0MI12119,,Michael,Switalski,Switalski; Michael,,DEM,13480,23.98%,,,,,,
2509,Michigan,MI,12,n/a,,,,,Party Votes:,DEM,56212,,,,,,,
2510,Michigan,MI,12,H0MI12127,,Don,Volaric,Volaric; Don,,REP,33823,100.00%,,,71372,34.97%,,
2511,Michigan,MI,12,n/a,,,,,Party Votes:,REP,33823,,,,,,,
2512,Michigan,MI,12,H0MI12135,,Julia,Williams,Williams; Julia,,GRE,*,,,,3038,1.49%,,
2513,Michigan,MI,12,H8MI05108,,Leonard,Schwartz,Schwartz; Leonard,,LIB ,*,,,,2342,1.15%,,
2514,Michigan,MI,12,H6MI12231,,Les,Townsend,Townsend; Les,,UST,*,,,,2285,1.12%,,
2515,Michigan,MI,12,H0MI12143,,Alan,Jacquemotte,Jacquemotte; Alan,,NLP,*,,,,409,0.20%,,
2516,Michigan,MI,12,n/a,,,,,District Votes:,,90035,,,,204117,,,
2517,Michigan,MI,,n/a,,,,,,,,,,,,,,
2518,Michigan,MI,13,H0MI13398,,Hansen,Clarke,Clarke; Hansen,,DEM,22573,47.32%,,,100885,79.39%,,
2519,Michigan,MI,13,H6MI15127,(I),Carolyn Cheeks,Kilpatrick,Kilpatrick; Carolyn Cheeks,,DEM,19507,40.89%,,,,,,
2520,Michigan,MI,13,H0MI13372,,Glenn,Plummer,Plummer; Glenn,,DEM,2038,4.27%,,,,,,
2521,Michigan,MI,13,H0MI13406,,John W.,Broad,Broad; John W.,,DEM,1872,3.92%,,,,,,
2522,Michigan,MI,13,H0MI13422,,Vincent T.,Brown,Brown; Vincent T.,,DEM,893,1.87%,,,,,,
2523,Michigan,MI,13,H0MI13430,,Stephen,Hume,Hume; Stephen,,DEM,820,1.72%,,,,,,
2524,Michigan,MI,13,n/a,,,,,Party Votes:,DEM,47703,,,,,,,
2525,Michigan,MI,13,H0MI13414,,John,Hauler,Hauler; John,,REP,10153,100.00%,,,23462,18.46%,,
2526,Michigan,MI,13,n/a,,,,,Party Votes:,REP,10153,,,,,,,
2527,Michigan,MI,13,H8MI13201,,George,Corsetti,Corsetti; George,,GRE,*,,,,1032,0.81%,,
2528,Michigan,MI,13,H0MI13455,,Duane,Montgomery,Montgomery; Duane,,NPA,,,,,881,0.69%,,
2529,Michigan,MI,13,H0MI13448,,Heidi ,Peterson,Peterson; Heidi ,,LIB,*,,,,815,0.64%,,
2530,Michigan,MI,13,n/a,,James,Casha,Casha; James,,W,,,,,1,0.00%,,
2531,Michigan,MI,13,n/a,,,,,District Votes:,,57856,,,,127076,,,
2532,Michigan,MI,,n/a,,,,,,,,,,,,,,
2533,Michigan,MI,14,H6MI01028,(I),John Jr.,Conyers,Conyers; John; Jr.,,DEM,44902,100.00%,,,115511,76.76%,,
2534,Michigan,MI,14,n/a,,,,,Party Votes:,DEM,44902,,,,,,,
2535,Michigan,MI,14,H0MI14222,,Don,Ukrainec,Ukrainec; Don,,REP,7435,55.43%,,,29902,19.87%,,
2536,Michigan,MI,14,H0MI14206,,Pauline,Montie,Montie; Pauline,,REP,5978,44.57%,,,,,,
2537,Michigan,MI,14,n/a,,,,,Party Votes:,REP,13413,,,,,,,
2538,Michigan,MI,14,H0MI14214,,Marc J.,Sosnowski,Sosnowski; Marc J.,,UST,*,,,,3206,2.13%,,
2539,Michigan,MI,14,H8MI14092,,Richard J.,Secula,Secula; Richard J.,,LIB,*,,,,1859,1.24%,,
2540,Michigan,MI,14,n/a,,,,,District Votes:,,58315,,,,150478,,,
2541,Michigan,MI,,n/a,,,,,,,,,,,,,,
2542,Michigan,MI,15,H6MI16034,(I),John D.,Dingell,Dingell; John D.,,DEM,40642,100.00%,,,118336,56.81%,,
2543,Michigan,MI,15,n/a,,,,,Party Votes:,DEM,40642,,,,,,,
2544,Michigan,MI,15,H0MI15062,,Rob,Steele,Steele; Rob,,REP,18358,50.76%,,,83488,40.08%,,
2545,Michigan,MI,15,H8MI15099,,John J.,Lynch,Lynch; John J.,,REP,11946,33.03%,,,,,,
2546,Michigan,MI,15,H0MI15096,,Tony,Amorose,Amorose; Tony,,REP,4488,12.41%,,,,,,
2547,Michigan,MI,15,H0MI15112,,Majed A.,Moughni,Moughni; Majed A.,,REP,1374,3.80%,,,,,,
2548,Michigan,MI,15,n/a,,,,,Party Votes:,REP,36166,,,,,,,
2549,Michigan,MI,15,H6MI15218,,Aimee,Smith,Smith; Aimee,,GRE,*,,,,2686,1.29%,,
2550,Michigan,MI,15,H0MI15120,,Kerry Lee ,Morgan,Morgan; Kerry Lee ,,LIB,*,,,,1969,0.95%,,
2551,Michigan,MI,15,H0MI15070,,Matthew,Furman,Furman; Matthew,,UST,*,,,,1821,0.87%,,
2552,Michigan,MI,15,n/a,,Louis,Czako,Czako; Louis,,W,,,,,9,0.00%,,
2553,Michigan,MI,15,n/a,,,,,District Votes:,,76808,,,,208309,,,
2554,Michigan,MI,H,n/a,,,,,Total State Votes:,,1420314,,,,3194901,,,
2555,,,,n/a,,,,,,,,,,,,,,
2556,Minnesota,MN,1,H6MN01174,(I),Tim,Walz,Walz; Tim,,DFL,Unopposed,,,,122365,49.34%,,
2557,Minnesota,MN,1,H8MN01220,,Randy,Demmer,Demmer; Randy,,REP,Unopposed,,,,109242,44.05%,,
2558,Minnesota,MN,1,H0MN01060,,Steven,Wilson,Wilson; Steven,,IDP,Unopposed,,,,13242,5.34%,,
2559,Minnesota,MN,1,H0MN01052,,Lars,Johnson,Johnson; Lars,,PTF,,,,,3054,1.23%,,
2560,Minnesota,MN,1,n/a,,,Scattered,Scattered,,W,,,,,102,0.04%,,
2561,Minnesota,MN,1,n/a,,,,,District Votes:,,,,,,248005,,,
2562,Minnesota,MN,,n/a,,,,,,,,,,,,,,
2563,Minnesota,MN,2,H8MN06047,(I),John,Kline,Kline; John,,REP,16151,100.00%,,,181341,63.31%,,
2564,Minnesota,MN,2,n/a,,,,,Party Votes:,REP,16151,,,,,,,
2565,Minnesota,MN,2,H0MN02100,,Shelley,Madore,Madore; Shelley,,DFL,19990,54.74%,,,104809,36.59%,,
2566,Minnesota,MN,2,H8MN02053,,Dan,Powers,Powers; Dan,,DFL,16528,45.26%,,,,,,
2567,Minnesota,MN,2,n/a,,,,,Party Votes:,DFL,36518,,,,,,,
2568,Minnesota,MN,2,n/a,,,Scattered,Scattered,,W,,,,,303,0.11%,,
2569,Minnesota,MN,2,n/a,,,,,District Votes:,,52669,,,,286453,,,
2570,Minnesota,MN,,n/a,,,,,,,,,,,,,,
2571,Minnesota,MN,3,H8MN03077,(I),Erik,Paulsen,Paulsen; Erik,,REP,Unopposed,,,,161177,58.80%,,
2572,Minnesota,MN,3,H0MN03090,,Jim,Meffert,Meffert; Jim,,DFL,Unopposed,,,,100240,36.57%,,
2573,Minnesota,MN,3,H0MN03116,,Jon,Oleson,Oleson; Jon,,IDP,Unopposed,,,,12508,4.56%,,
2574,Minnesota,MN,3,n/a,,,Scattered,Scattered,,W,,,,,167,0.06%,,
2575,Minnesota,MN,3,n/a,,,,,District Votes:,,,,,,274092,,,
2576,Minnesota,MN,,n/a,,,,,,,,,,,,,,
2577,Minnesota,MN,4,H0MN04049,(I),Betty,McCollum,McCollum; Betty,,DFL,55491,86.55%,,,136746,59.09%,,
2578,Minnesota,MN,4,H0MN04155,,Diana,Longrie,Longrie; Diana,,DFL,8622,13.45%,,,,,,
2579,Minnesota,MN,4,n/a,,,,,Party Votes:,DFL,64113,,,,,,,
2580,Minnesota,MN,4,H0MN04148,,Teresa,Collett,Collett; Teresa,,REP,6949,67.20%,,,80141,34.63%,,
2581,Minnesota,MN,4,H4MN04082,,Jack,Shepard,Shepard; Jack,,REP,3392,32.80%,,,10,0.00%,,
2582,Minnesota,MN,4,n/a,,,,,Party Votes:,REP,10341,,,,,,,
2583,Minnesota,MN,4,H0MN04163,,Steve,Carlson,Carlson; Steve,,IDP,1550,100.00%,,,14207,6.14%,,
2584,Minnesota,MN,4,n/a,,,,,Party Votes:,IDP,1550,,,,,,,
2585,Minnesota,MN,4,n/a,,,Scattered,Scattered,,W,,,,,283,0.12%,,
2586,Minnesota,MN,4,n/a,,Amber,Garlan,Garlan; Amber,,W,,,,,39,0.02%,,
2587,Minnesota,MN,4,n/a,,,,,District Votes:,,76004,,,,231426,,,
2588,Minnesota,MN,,n/a,,,,,,,,,,,,,,
2589,Minnesota,MN,5,H6MN05183,(I),Keith,Ellison,Ellison; Keith,,DFL,55424,81.55%,,,154833,67.69%,,
2590,Minnesota,MN,5,H8MN05130,,Barb Davis,White,White; Barb Davis,,DFL,7963,11.72%,,,,,,
2591,Minnesota,MN,5,H6MN05316,,Gregg A.,Iverson,Iverson; Gregg A.,,DFL,4575,6.73%,,,,,,
2592,Minnesota,MN,5,n/a,,,,,Party Votes:,DFL,67962,,,,,,,
2593,Minnesota,MN,5,H0MN05111,,Joel,Demos,Demos; Joel,,REP,4975,100.00%,,,55222,24.14%,,
2594,Minnesota,MN,5,n/a,,,,,Party Votes:,REP,4975,,,,,,,
2595,Minnesota,MN,5,H0MN05103,,Lynne,Torgerson,Torgerson; Lynne,,IND,,,,,8548,3.74%,,
2596,Minnesota,MN,5,H0MN05129,,Tom,Schrunk,Schrunk; Tom,,IDP,1202,100.00%,,,7446,3.26%,,
2597,Minnesota,MN,5,n/a,,,,,Party Votes:,IDP,1202,,,,,,,
2598,Minnesota,MN,5,H0MN05137,,Michael James,Cavlan,Cavlan; Michael James,,IPR,,,,,2468,1.08%,,
2599,Minnesota,MN,5,n/a,,,Scattered,Scattered,,W,,,,,229,0.10%,,
2600,Minnesota,MN,5,n/a,,,,,District Votes:,,74139,,,,228746,,,
2601,Minnesota,MN,,n/a,,,,,,,,,,,,,,
2602,Minnesota,MN,6,H6MN06074,(I),Michele,Bachmann,Bachmann; Michele,,REP,17237,100.00%,,,159476,52.51%,,
2603,Minnesota,MN,6,n/a,,,,,Party Votes:,REP,17237,,,,,,,
2604,Minnesota,MN,6,H0MN06127,,Tarryl,Clark,Clark; Tarryl,,DFL,28185,69.10%,,,120846,39.79%,,
2605,Minnesota,MN,6,H0MN06119,,Maureen Kennedy,Reed,Reed; Maureen Kennedy,,DFL,12603,30.90%,,,,,,
2606,Minnesota,MN,6,n/a,,,,,Party Votes:,DFL,40788,,,,,,,
2607,Minnesota,MN,6,H8MN06088,,Bob,Anderson,Anderson; Bob,,IDP,1418,100.00%,,,17698,5.83%,,
2608,Minnesota,MN,6,n/a,,,,,Party Votes:,IDP,1418,,,,,,,
2609,Minnesota,MN,6,H8MN06070,,Aubrey,Immelman,Immelman; Aubrey,,IND,,,,,5490,1.81%,,
2610,Minnesota,MN,6,n/a,,,Scattered,Scattered,,W,,,,,178,0.06%,,
2611,Minnesota,MN,6,n/a,,Dennis S.,Ferche,Ferche; Dennis S.,,W,,,,,3,0.00%,,
2612,Minnesota,MN,6,n/a,,,,,District Votes:,,59443,,,,303691,,,
2613,Minnesota,MN,,n/a,,,,,,,,,,,,,,
2614,Minnesota,MN,7,H2MN07014,(I),Collin C.,Peterson,Peterson; Collin C.,,DFL,42104,100.00%,,,133096,55.20%,,
2615,Minnesota,MN,7,n/a,,,,,Party Votes:,DFL,42104,,,,,,,
2616,Minnesota,MN,7,H0MN07059,,Lee,Byberg,Byberg; Lee,,REP,11417,60.95%,,,90652,37.60%,,
2617,Minnesota,MN,7,H8MN07060,,Alan,Roebke,Roebke; Alan,,REP,7315,39.05%,,,,,,
2618,Minnesota,MN,7,n/a,,,,,Party Votes:,REP,18732,,,,,,,
2619,Minnesota,MN,7,H0MN07067,,Gene,Waldorf,Waldorf; Gene,,IND,,,,,9317,3.86%,,
2620,Minnesota,MN,7,H0MN07034,,Glen R.,Menze,Menze; Glen R.,,IDP,2242,100.00%,,,7839,3.25%,,
2621,Minnesota,MN,7,n/a,,,,,Party Votes:,IDP,2242,,,,,,,
2622,Minnesota,MN,7,n/a,,,Scattered,Scattered,,W,,,,,193,0.08%,,
2623,Minnesota,MN,7,n/a,,,,,District Votes:,,63078,,,,241097,,,
2624,Minnesota,MN,,n/a,,,,,,,,,,,,,,
2625,Minnesota,MN,8,H0MN08115,,Chip,Cravaack,Cravaack; Chip,,REP,26608,100.00%,,,133490,48.18%,,
2626,Minnesota,MN,8,n/a,,,,,Party Votes:,REP,26608,,,,,,,
2627,Minnesota,MN,8,H6MN08047,(I),James L.,Oberstar,Oberstar; James L.,,DFL,56510,80.48%,,,129091,46.59%,,
2628,Minnesota,MN,8,H0MN08131,,W.D. (Bill),Hamm,Hamm; W.D. (Bill),,DFL,13710,19.52%,,,,,,
2629,Minnesota,MN,8,n/a,,,,,Party Votes:,DFL,70220,,,,,,,
2630,Minnesota,MN,8,H0MN08123,,Timothy,Olson,Olson; Timothy,,IDP,2515,100.00%,,,11876,4.29%,,
2631,Minnesota,MN,8,n/a,,,,,Party Votes:,IDP,2515,,,,,,,
2632,Minnesota,MN,8,H0MN08149,,Richard (George),Burton,Burton; Richard (George),,CON,,,,,2492,0.90%,,
2633,Minnesota,MN,8,n/a,,,Scattered,Scattered,,W,,,,,132,0.05%,,
2634,Minnesota,MN,8,n/a,,,,,District Votes:,,99343,,,,277081,,,
2635,Minnesota,MN,H,n/a,,,,,Total State Votes:,,424676,,,,2090591,,,
2636,,,,n/a,,,,,,,,,,,,,,
2637,Mississippi,MS,1,H0MS01043,, Alan ,Nunnelee,Nunnelee;  Alan ,,REP,20236,51.82%,,,121074,55.26%,,
2638,Mississippi,MS,1,H0MS01050,,Henry,Ross,Ross; Henry,,REP,12894,33.02%,,,,,,
2639,Mississippi,MS,1,H0MS01068,,Angela,McGlowan,McGlowan; Angela,,REP,5924,15.17%,,,,,,
2640,Mississippi,MS,1,n/a,,,,,Party Votes:,REP,39054,,,,,,,
2641,Mississippi,MS,1,H8MS01061,(I),Travis W.,Childers,Childers; Travis W.,,DEM,Unopposed,,,,89388,40.80%,,
2642,Mississippi,MS,1,H8MS01129,,Wally ,Pang,Pang; Wally ,,IND,,,,,2180,1.00%,,
2643,Mississippi,MS,1,H0MS01068,,Les,Green,Green; Les,,IND,,,,,2020,0.92%,,
2644,Mississippi,MS,1,H0MS01092,,A.G. ,Baddley,Baddley; A.G. ,,IND,,,,,1882,0.86%,,
2645,Mississippi,MS,1,H0MS01084,,Gail ,Giaramita,Giaramita; Gail ,,CON,Unopposed,,,,1235,0.56%,,
