1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME (Last; First),TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)"
104,Alaska,AK,S,n/a,,Karen,Perry,Perry; Karen,,W,,,,,2,0.00%,,
105,Alaska,AK,S,n/a,,Eileen M.,Ransom,Ransom; Eileen M.,,W,,,,,2,0.00%,,
106,Alaska,AK,S,n/a,,Jed,Whittaker,Whittaker; Jed,,W,,,,,2,0.00%,,
107,Alaska,AK,S,n/a,,Michael,Ames,Ames; Michael,,W,,,,,1,0.00%,,
108,Alaska,AK,S,n/a,,Kevin,Austin,Austin; Kevin,,W,,,,,1,0.00%,,
109,Alaska,AK,S,n/a,,David E.,Beeman,Beeman; David E.,,W,,,,,1,0.00%,,
110,Alaska,AK,S,n/a,,Vicky L.,Beeman,Beeman; Vicky L.,,W,,,,,1,0.00%,,
111,Alaska,AK,S,n/a,,David,Boyle,Boyle; David,,W,,,,,1,0.00%,,
112,Alaska,AK,S,n/a,,Michael,Butler,Butler; Michael,,W,,,,,1,0.00%,,
113,Alaska,AK,S,n/a,,Margaret A.,Crowell,Crowell; Margaret A.,,W,,,,,1,0.00%,,
114,Alaska,AK,S,n/a,,Chris S.,Dillingham,Dillingham; Chris S.,,W,,,,,1,0.00%,,
115,Alaska,AK,S,n/a,,David S.,George,George; David S.,,W,,,,,1,0.00%,,
116,Alaska,AK,S,n/a,,Alan D.,Humphries,Humphries; Alan D.,,W,,,,,1,0.00%,,
117,Alaska,AK,S,n/a,,Petter M.,Johnson,Johnson; Petter M.,,W,,,,,1,0.00%,,
118,Alaska,AK,S,n/a,,Eric C.,Kelly,Kelly; Eric C.,,W,,,,,1,0.00%,,
119,Alaska,AK,S,n/a,,Bill,Klemme,Klemme; Bill,,W,,,,,1,0.00%,,
120,Alaska,AK,S,n/a,,Marjori,Landis-Beck,Landis-Beck; Marjori,,W,,,,,1,0.00%,,
121,Alaska,AK,S,n/a,,Anthony,Rice,Rice; Anthony,,W,,,,,1,0.00%,,
122,Alaska,AK,S,n/a,,Thompson,Steve,Steve; Thompson,,W,,,,,1,0.00%,,
123,Alaska,AK,S,n/a,,Georgia Lee,Tolbert,Tolbert; Georgia Lee,,W,,,,,1,0.00%,,
124,Alaska,AK,S,n/a,,,,,Total State Votes:,,145830,,,,257538,,,
125,,,,n/a,,,,,,,,,,,,,,
126,American Samoa,AS,0,H0AS00018,(I),Eni F.H.,Faleomavaega,Faleomavaega; Eni F.H.,,DEM,,,,,6182,56.41%,,
127,American Samoa,AS,0,H4AS00036,,Aumua,Amata,Amata; Aumua,,REP,,,,,4422,40.35%,,
128,American Samoa,AS,0,H2AS00030,,Tuika,Tuika,Tuika; Tuika,,NNE,,,,,356,3.25%,,
129,American Samoa,AS,H,n/a,,,,,District Votes:,,,,,,10960,,,
130,American Samoa,AS,H,n/a,,,,,Total Votes:,,,,,,10960,,,
131,,,,n/a,,,,,,,,,,,,,,
132,Arizona,AZ,1,H0AZ01259,,Paul,Gosar,Gosar; Paul,,REP,21941,30.73%,,,112816,49.72%,,
133,Arizona,AZ,1,H2AZ01149,,Sydney,Hay,Hay; Sydney,,REP,16328,22.87%,,,,,,
134,Arizona,AZ,1,H0AZ01267,,Bradley,Beauchamp,Beauchamp; Bradley,,REP,11356,15.91%,,,,,,
135,Arizona,AZ,1,H0AZ01275,,"Russell ""Rusty""",Bowers,"Bowers; Russell ""Rusty""",,REP,10552,14.78%,,,,,,
136,Arizona,AZ,1,H0AZ01283,,Steve,Mehta,Mehta; Steve,,REP,5846,8.19%,,,,,,
137,Arizona,AZ,1,H0AZ01309,,Thomas J.,Zaleski,Zaleski; Thomas J.,,REP,2105,2.95%,,,,,,
138,Arizona,AZ,1,H0AZ01317,,Jon,Jensen,Jensen; Jon,,REP,1736,2.43%,,,,,,
139,Arizona,AZ,1,H0AZ01291,,Joe,Jaraczewski,Jaraczewski; Joe,,REP,1530,2.14%,,,,,,
140,Arizona,AZ,1,n/a,,,,,Party Votes:,REP,71394,,,,,,,
141,Arizona,AZ,1,H8AZ01104,(I),Ann,Kirkpatrick,Kirkpatrick; Ann,,DEM,46902,100.00%,,,99233,43.73%,,
142,Arizona,AZ,1,n/a,,,,,Party Votes:,DEM,46902,,,,,,,
143,Arizona,AZ,1,H0AZ01341,,Nicole,Patti,Patti; Nicole,,W(LIB)/LIB,23,100.00%,,,14869,6.55%,,
144,Arizona,AZ,1,n/a,,,,,Party Votes:,LIB,23,,,,,,,
145,Arizona,AZ,1,n/a,,,,,District Votes:,,118319,,,,226918,,,
146,Arizona,AZ,,n/a,,,,,,,,,,,,,,
147,Arizona,AZ,2,H4AZ04024,(I),Trent,Franks,Franks; Trent,,REP,81252,80.87%,,,173173,64.88%,,
148,Arizona,AZ,2,H0AZ02141,,Charles,Black,Black; Charles,,REP,19220,19.13%,,,,,,
149,Arizona,AZ,2,n/a,,,,,Party Votes:,REP,100472,,,,,,,
150,Arizona,AZ,2,H6AZ02155,,John,Thrasher,Thrasher; John,,DEM,32503,100.00%,,,82891,31.06%,,
151,Arizona,AZ,2,n/a,,,,,Party Votes:,DEM,32503,,,,,,,
152,Arizona,AZ,2,H4AZ02119,,Powell,Gammill,Gammill; Powell,,LIB,318,100.00%,,,10820,4.05%,,
153,Arizona,AZ,2,n/a,,,,,Party Votes:,LIB,318,,,,,,,
154,Arizona,AZ,2,H6AZ00027,,Crum ,William,William; Crum ,,W,,,,,8,0.00%,,
155,Arizona,AZ,2,n/a,,Mark,Rankin,Rankin; Mark,,W,,,,,2,0.00%,,
156,Arizona,AZ,2,n/a,,,,,District Votes:,,133293,,,,266894,,,
157,Arizona,AZ,,n/a,,,,,,,,,,,,,,
158,Arizona,AZ,3,H0AZ03362,,Ben,Quayle,Quayle; Ben,,REP,17400,22.05%,,,108689,52.24%,,
159,Arizona,AZ,3,H0AZ03396,,Steve,Moak,Moak; Steve,,REP,14211,18.01%,,,,,,
160,Arizona,AZ,3,H0AZ03313,,Jim,Waring,Waring; Jim,,REP,13850,17.55%,,,,,,
161,Arizona,AZ,3,H0AZ03321,,Vernon B.,Parker,Parker; Vernon B.,,REP,13411,17.00%,,,,,,
162,Arizona,AZ,3,H0AZ03339,,Pamela,Gorman,Gorman; Pamela,,REP,6473,8.20%,,,,,,
163,Arizona,AZ,3,H0AZ03354,,Paulina,Morris,Morris; Paulina,,REP,6138,7.78%,,,,,,
164,Arizona,AZ,3,H0AZ03347,,Sam,Crump,Crump; Sam,,REP,3886,4.92%,,,,,,
165,Arizona,AZ,3,H8AZ03126,,Ed,Winkler,Winkler; Ed,,REP,1353,1.71%,,,,,,
166,Arizona,AZ,3,H0AZ03388,,Bob,Branch,Branch; Bob,,REP,1141,1.45%,,,,,,
167,Arizona,AZ,3,H0AZ03370,,Leann,Hull,Hull; Leann,,REP,1044,1.32%,,,,,,
168,Arizona,AZ,3,n/a,,,,,Party Votes:,REP,78907,,,,,,,
169,Arizona,AZ,3,H0AZ03305,,Jon,Hulburd,Hulburd; Jon,,DEM,27388,100.00%,,,85610,41.14%,,
170,Arizona,AZ,3,n/a,,,,,Party Votes:,DEM,27388,,,,,,,
171,Arizona,AZ,3,H8AZ03134,,Michael,Shoen,Shoen; Michael,,LIB,392,99.75%,,,10478,5.04%,,
172,Arizona,AZ,3,H0AZ03446 ,,Clay,Adair,Adair; Clay,,W(LIB),1,0.25%,,,,,,
173,Arizona,AZ,3,n/a,,,,,Party Votes:,LIB,393,,,,,,,
174,Arizona,AZ,3,H0AZ03438,,Leonard ,Clark,Clark; Leonard ,,W(GRE)/GRE,5,100.00%,,,3294,1.58%,,
175,Arizona,AZ,3,n/a,,,,,Party Votes:,GRE,5,,,,,,,
176,Arizona,AZ,3,n/a,,,,,District Votes:,,106693,,,,208071,,,
177,Arizona,AZ,,n/a,,,,,,,,,,,,,,
178,Arizona,AZ,4,H2AZ02055,(I),Ed,Pastor,Pastor; Ed,,DEM,24613,100.00%,,,61524,66.94%,,
179,Arizona,AZ,4,n/a,,,,,Party Votes:,DEM,24613,,,,,,,
180,Arizona,AZ,4,H0AZ04493,,Janet,Contreras,Contreras; Janet,,REP,8085,60.10%,,,25300,27.53%,,
181,Arizona,AZ,4,H0AZ04501,,Joe,Penalosa,Penalosa; Joe,,REP,5368,39.90%,,,,,,
182,Arizona,AZ,4,n/a,,,,,Party Votes:,REP,13453,,,,,,,
183,Arizona,AZ,4,H8AZ04124,,Joe,Cobb,Cobb; Joe,,LIB,219,100.00%,,,2718,2.96%,,
184,Arizona,AZ,4,n/a,,,,,Party Votes:,LIB,219,,,,,,,
185,Arizona,AZ,4,H8AZ04116,,Rebecca,Dewitt,Dewitt; Rebecca,,GRE,148,100.00%,,,2365,2.57%,,
186,Arizona,AZ,4,n/a,,,,,Party Votes:,GRE,148,,,,,,,
187,Arizona,AZ,4,n/a,,,,,District Votes:,,38433,,,,91907,,,
188,Arizona,AZ,,n/a,,,,,,,,,,,,,,
189,Arizona,AZ,5,H4AZ06045,,David,Schweikert,Schweikert; David,,REP,26678,37.23%,,,110374,52.00%,,
190,Arizona,AZ,5,H0AZ05078,,Jim,Ward,Ward; Jim,,REP,18480,25.79%,,,,,,
191,Arizona,AZ,5,H4AZ01061,,Susan,Bitter Smith,Bitter Smith; Susan,,REP,17297,24.14%,,,,,,
192,Arizona,AZ,5,H0AZ05102,,Chris,Salvino,Salvino; Chris,,REP,7156,9.99%,,,,,,
193,Arizona,AZ,5,H8AZ05121,,Lee,Gentry,Gentry; Lee,,REP,1157,1.61%,,,,,,
194,Arizona,AZ,5,H0AZ05110,,Mark,Spinks,Spinks; Mark,,REP,884,1.23%,,,,,,
195,Arizona,AZ,5,n/a,,,,,Party Votes:,REP,71652,,,,,,,
196,Arizona,AZ,5,H6AZ05067,(I),Harry,Mitchell,Mitchell; Harry,,DEM,29716,100.00%,,,91749,43.23%,,
197,Arizona,AZ,5,n/a,,,,,Party Votes:,DEM,29716,,,,,,,
198,Arizona,AZ,5,H0AZ05136,,Nick,Coons,Coons; Nick,,LIB,306,100.00%,,,10127,4.77%,,
199,Arizona,AZ,5,n/a,,,,,Party Votes:,LIB,306,,,,,,,
200,Arizona,AZ,5,H0AZ05144 ,,Ryan ,Blackman,Blackman; Ryan ,,W(GRE),4,100.00%,,,,,,
201,Arizona,AZ,5,n/a,,,,,Party Votes:,GRE,4,,,,,,,
202,Arizona,AZ,5,n/a,,,,,District Votes:,,101678,,,,212250,,,
203,Arizona,AZ,,n/a,,,,,,,,,,,,,,
204,Arizona,AZ,6,H0AZ01184,(I),Jeff,Flake,Flake; Jeff,,REP,62285,64.60%,,,165649,66.42%,,
205,Arizona,AZ,6,H0AZ05094,,Jeff,Smith,Smith; Jeff,,REP,34137,35.40%,,,,,,
206,Arizona,AZ,6,n/a,,,,,Party Votes:,REP,96422,,,,,,,
207,Arizona,AZ,6,H8AZ06053,,Rebecca,Schneider,Schneider; Rebecca,,DEM,26220,100.00%,,,72615,29.12%,,
208,Arizona,AZ,6,n/a,,,,,Party Votes:,DEM,26220,,,,,,,
209,Arizona,AZ,6,H0AZ06050,,Darell,Tapp,Tapp; Darell,,W(LIB)/LIB,28,100.00%,,,7712,3.09%,,
210,Arizona,AZ,6,n/a,,,,,Party Votes:,LIB,28,,,,,,,
