St,CD,CD_Name,Obama12,Romney12,Obama08,McCain08,Kerry04,Bush04,Dem,GOP,PVI,,,,,,,
FL,10,FL10r,45.7,53.8,47.2,52,42,58,45%,55%,6.44,,,,,,,
FL,11,FL11r,40.2,58.8,43,55.7,43,57,43%,57%,7.93,,,,,,,
FL,12,FL12r,44.8,54,46.6,52.1,43,57,45%,55%,6.12,,,,,,,
FL,13,FL13r,50.1,48.6,51.1,47.3,48,52,50%,50%,1.26,,,,,,,
FL,14,FL14r,65.1,34,65,34,59,41,62%,38%,11.1,,,,,,,
FL,15,FL15r,45.5,53.4,45.9,52.9,40,60,43%,57%,8.01,,,,,,,
FL,16,FL16r,44.9,54.2,48.1,50.8,45,55,47%,53%,4.41,,,,,,,
FL,17,FL17r,41.3,57.8,43,55.7,40,60,42%,58%,9.44,,,,,,,
FL,18,FL18r,47.6,51.7,51,48,49,51,50%,50%,0.96,,,,,,,
FL,19,FL19r,38.8,60.6,42.3,56.8,38,62,40%,60%,10.88,,,,,,,
FL,20,FL20r,82.6,17,80.4,19,77,23,79%,21%,27.72,,,,,,,
FL,21,FL21r,60.6,38.9,63.5,35.9,63,37,63%,37%,12.23,,,,,,,
FL,22,FL22r,54.4,44.9,56.7,42.5,56,44,57%,43%,5.36,,,,,,,
FL,23,FL23r,61.5,37.9,61.8,37.5,62,38,62%,38%,10.9,,,,,,,
FL,24,FL24r,87.6,12.1,86.2,13.5,82,18,84%,16%,33.01,,,,,,,
FL,25,FL25r,48.7,50.8,45.5,53.9,39,61,42%,58%,8.84,,,,,,,
FL,26,FL26r,53.1,46.4,49.5,49.9,45,55,47%,53%,3.82,,,,,,,
FL,27,FL27r,53,46.4,48.5,50.9,42,58,45%,55%,5.83,,,,,,,
GA,1,GA01,43,55.9,44.9,54.6,39,61,42%,58%,9.16,,,,,,,
GA,2,GA02,58.6,40.8,57.8,41.7,53,47,56%,44%,4.32,,,,,,,
GA,3,GA03,33,65.9,34.6,64.7,30,70,32%,68%,18.8,,,,,,,
GA,4,GA04,73.6,25.6,72.4,27.1,64,36,68%,32%,17.16,,,,,,,
GA,5,GA05,83.1,15.8,83.8,15.6,80,20,82%,18%,30.93,,,,,,,
GA,6,GA06,37.5,60.8,43.3,55.9,35,65,39%,61%,11.91,,,,,,,
GA,7,GA07,38.3,60.2,39.3,59.8,30,70,35%,65%,16.41,,,,,,,
GA,8,GA08,37.5,61.6,37.9,61.5,35,65,37%,63%,14.65,,,,,,,
GA,9,GA09,20.5,78.1,24.3,74.7,25,75,25%,75%,26.44,,,,,,,
GA,10,GA10,36.3,62.5,38.8,60.4,35,65,37%,63%,14.17,,,,,,,
GA,11,GA11,31.5,66.9,35.1,63.9,30,70,33%,67%,18.5,,,,,,,
GA,12,GA12,43.6,55.4,44,55.4,40,60,42%,58%,9.09,,,,,,,
GA,13,GA13,69.2,30,66,33.4,55,45,61%,39%,9.47,,,,,,,
GA,14,GA14,25.3,73.2,27.8,71.1,27,73,28%,72%,23.66,,,,,,,
HI,1,HI01,69.7,29,70.3,28.3,52,48,62%,38%,10.37,,,,,,,
HI,2,HI02,71.4,26.7,73.4,24.9,56,44,65%,35%,14.04,,,,,,,
IA,1,IA01,56.2,42.5,58.2,40.2,53,47,56%,44%,4.83,,,,,,,
IA,2,IA02,55.8,42.7,56.8,41.4,53,47,55%,45%,4.18,,,,,,,
IA,3,IA03,51.4,47.2,52.2,46.1,47,53,50%,50%,1.19,,,,,,,
IA,4,IA04,45.3,53.4,48.3,50.1,45,55,47%,53%,4.19,,,,,,,
ID,1,ID01,32.2,64.9,35.1,62.5,30,70,33%,67%,18.27,,,,,,,
ID,2,ID02,33.1,64.1,37.1,60.5,31,69,34%,66%,16.75,,,,,,,
IL,1,IL01,79,20.2,80.8,18.6,77,23,79%,21%,27.92,,,,,,,
IL,2,IL02,80.7,18.5,81.1,18.2,75,25,78%,22%,27.11,,,,,,,
IL,3,IL03,55.9,42.6,58.3,40.4,54,46,57%,43%,5.3,,,,,,,
IL,4,IL04,80.9,17.1,80.5,18.2,73,27,77%,23%,26.04,,,,,,,
IL,5,IL05,66,31.8,69.9,28.8,64,36,67%,33%,16.17,,,,,,,
IL,6,IL06,45.1,53.3,51.3,47.4,41,59,46%,54%,4.76,,,,,,,
IL,7,IL07,87.2,11.8,89.4,9.9,86,14,88%,12%,36.79,,,,,,,
IL,8,IL08,57.4,40.9,61.5,37.1,51,49,57%,43%,5.43,,,,,,,
IL,9,IL09,65,33.3,68.6,30.3,63,37,66%,34%,14.95,,,,,,,
IL,10,IL10,57.5,41.1,63,36,54,46,59%,41%,7.58,,,,,,,
IL,11,IL11,57.8,40.6,61.4,37.4,51,49,57%,43%,5.32,,,,,,,
IL,12,IL12,49.7,48.2,54.7,43.6,51,49,53%,47%,2.09,,,,,,,
IL,13,IL13,48.6,49,54.6,43.6,49,51,52%,48%,1.06,,,,,,,
IL,14,IL14,44.2,54.2,50.6,48.1,39,61,45%,55%,6.12,,,,,,,
IL,15,IL15,34.1,63.9,42.8,55.4,37,63,40%,60%,10.95,,,,,,,
IL,16,IL16,45.2,52.9,50.1,48.2,43,57,47%,53%,4.27,,,,,,,
IL,17,IL17,57.6,40.6,60,38.5,54,46,57%,43%,6.22,,,,,,,
IL,18,IL18,37.4,60.7,44.1,54.4,37,63,41%,59%,10.36,,,,,,,
IN,1,IN01,61.2,37.4,63.3,35.8,57,43,60%,40%,9.21,,,,,,,
IN,2,IN02,42.1,56.1,49.6,49.3,39,61,45%,55%,6.67,,,,,,,
IN,3,IN03,35.7,62.5,43,56,32,68,38%,62%,13.53,,,,,,,
IN,4,IN04,36.9,60.9,44.5,54.3,32,68,38%,62%,12.73,,,,,,,
IN,5,IN05,40.7,57.5,46.8,52.4,34,66,41%,59%,10.65,,,,,,,
IN,6,IN06,37.3,60.4,43.7,54.9,35,65,40%,60%,11.59,,,,,,,
IN,7,IN07,62.9,35.4,65.9,33.3,54,46,60%,40%,8.98,,,,,,,
IN,8,IN08,39.6,58.4,48.2,50.6,38,62,43%,57%,7.85,,,,,,,
IN,9,IN09,40.7,57.2,46.3,52.7,38,62,42%,58%,8.85,,,,,,,
KS,1,KS01,27.6,70.1,31,67.2,28,72,30%,70%,21.45,,,,,,,
KS,2,KS02,42,55.6,45.3,52.8,42,58,44%,56%,7.15,,,,,,,
KS,3,KS03,44.3,53.8,48.8,49.9,43,57,46%,54%,5.01,,,,,,,
KS,4,KS04,36.1,61.6,39.5,58.6,35,65,38%,62%,13.61,,,,,,,
KY,1,KY01,32.1,66.4,36.9,61.6,36,64,37%,63%,14.49,,,,,,,
