State,CD,Name,Incumbent,Party,Obama 2012,Romney 2012,Obama 2008,McCain 2008,Dem,GOP,PVI,,,,,,,,,
FL,17,FL17r,"Rooney, Tom",(R),41.2,57.9,43.2,55.9,43%,57%,10.42,,,,,,,,,
FL,18,FL18r,"Murphy, Patrick",(D),47.6,51.7,51.2,48.1,50%,50%,3.25,,,,,,,,,
FL,19,FL19r,"Clawson, Curt",(R),38.8,60.6,42.4,56.9,41%,59%,12.13,,,,,,,,,
FL,20,FL20r,"Hastings, Alcee",(D),82.6,17,80.5,19.1,82%,18%,28.88,,,,,,,,,
FL,21,FL21r,"Deutch, Ted",(D),60.6,38.9,63.6,35.9,62%,38%,9.41,,,,,,,,,
FL,22,FL22r,"Frankel, Lois",(D),54.4,44.9,56.8,42.6,56%,44%,2.96,,,,,,,,,
FL,23,FL23r,"Wasserman Schultz, Debbie",(D),61.5,37.9,61.9,37.6,62%,38%,9.04,,,,,,,,,
FL,24,FL24r,"Wilson, Frederica",(D),87.5,12.1,86.2,13.5,87%,13%,34.16,,,,,,,,,
FL,25,FL25r,"Diaz-Balart, Mario",(R),48.7,50.8,45.6,54,47%,53%,5.64,,,,,,,,,
FL,26,FL26r,"Curbelo, Carlos",(R),53.1,46.4,49.6,50,52%,48%,1.42,,,,,,,,,
FL,27,FL27r,"Ros-Lehtinen, Ileana",(R),53.1,46.4,48.6,51,51%,49%,1.92,,,,,,,,,
GA,01,GA01,"Carter, Buddy",(R),43,55.9,44.4,55,44%,56%,8.93,,,,,,,,,
GA,02,GA02,"Bishop, Sanford",(D),58.6,40.8,57.9,41.6,59%,41%,5.57,,,,,,,,,
GA,03,GA03,"Westmoreland, Lynn",(R),33,65.9,34,65.3,34%,66%,19.2,,,,,,,,,
GA,04,GA04,"Johnson, Hank",(D),73.6,25.6,73.2,26.3,74%,26%,20.88,,,,,,,,,
GA,05,GA05,"Lewis, John",(D),83.1,15.8,84.4,15,84%,16%,31.47,,,,,,,,,
GA,06,GA06,"Price, Tom",(R),37.5,60.8,40.1,59,39%,61%,13.69,,,,,,,,,
GA,07,GA07,"Woodall, Rob",(R),38.3,60.2,39.1,60.1,39%,61%,13.85,,,,,,,,,
GA,08,GA08,"Scott, Austin",(R),37.5,61.6,37.8,61.6,38%,62%,15.07,,,,,,,,,
GA,09,GA09,"Collins, Doug",(R),20.5,78.1,24.3,74.7,23%,77%,30.33,,,,,,,,,
GA,10,GA10,"Hice, Jodi",(R),36.3,62.5,38.8,60.4,38%,62%,15.07,,,,,,,,,
GA,11,GA11,"Loudermilk, Barry",(R),31.5,66.9,34.7,64.3,34%,66%,19.46,,,,,,,,,
GA,12,GA12,"Allen, Rick",(R),43.6,55.4,43.9,55.6,44%,56%,8.92,,,,,,,,,
GA,13,GA13,"Scott, David",(D),69.2,30,67.1,32.3,69%,31%,15.63,,,,,,,,,
GA,14,GA14,"Graves, Tom",(R),25.3,73.2,27.8,71,27%,73%,26.09,,,,,,,,,
HI,01,HI01,"Takai, Mark",(D),69.7,29,70.3,28.3,71%,29%,17.96,,,,,,,,,
HI,02,HI02,"Gabbard, Tulsi",(D),71.4,26.7,73.4,24.9,74%,26%,20.73,,,,,,,,,
IA,01,IA01,"Blum, Rod",(R),56.2,42.5,58.5,40.4,58%,42%,5.05,,,,,,,,,
IA,02,IA02,"Loebsack, David",(D),55.8,42.7,57.1,41.6,57%,43%,4.25,,,,,,,,,
IA,03,IA03,"Young, David",(R),51.4,47.2,52.4,46.3,53%,47%,0.39,,,,,,,,,
IA,04,IA04,"King, Steve",(R),45.3,53.4,48.5,50.2,48%,52%,5.48,,,,,,,,,
ID,01,ID01,"Labrador, Raul",(R),32.2,64.9,35.1,62.5,35%,65%,18.43,,,,,,,,,
ID,02,ID02,"Simpson, Mike",(R),33.1,64.1,37.1,60.5,36%,64%,16.96,,,,,,,,,
IL,01,IL01,"Rush, Bobby",(D),79,20.2,80.8,18.5,81%,19%,27.5,,,,,,,,,
IL,02,IL02,"Kelly, Robin",(D),80.7,18.5,81.1,18.2,82%,18%,28.51,,,,,,,,,
IL,03,IL03,"Lipinski, Dan",(D),55.9,42.6,58.3,40.4,58%,42%,4.91,,,,,,,,,
IL,04,IL04,"Gutierrez, Luis",(D),80.9,17.1,80.5,18.2,82%,18%,29.05,,,,,,,,,
IL,05,IL05,"Quigley, Mike",(D),66,31.8,69.9,28.8,69%,31%,16.16,,,,,,,,,
IL,06,IL06,"Roskam, Peter",(R),45.1,53.3,51.3,47.3,49%,51%,4.07,,,,,,,,,
IL,07,IL07,"Davis, Danny",(D),87.2,11.8,89.4,9.9,89%,11%,36.06,,,,,,,,,
IL,08,IL08,"Duckworth, Tammy",(D),57.4,40.9,61.5,37.1,60%,40%,7.39,,,,,,,,,
IL,09,IL09,"Schakowsky, Jan",(D),65,33.3,68.6,30.3,68%,32%,14.75,,,,,,,,,
IL,10,IL10,"Dold, Bob",(R),57.5,41.1,63,35.9,61%,39%,8.01,,,,,,,,,
IL,11,IL11,"Foster, Bill",(D),57.8,40.6,61.3,37.5,60%,40%,7.4,,,,,,,,,
IL,12,IL12,"Bost, Mike",(R),49.7,48.2,54.7,43.6,53%,47%,0.21,,,,,,,,,
IL,13,IL13,"Davis, Rodney",(R),48.6,48.9,54.6,43.6,53%,47%,0.27,,,,,,,,,
