CD_Name,Year,Lookup,PVI
MI12o,2006,MI12o_2006,-12.10259275
MI13o,2006,MI13o_2006,-31.39095374
MI14o,2006,MI14o_2006,-32.89849143
MI15o,2006,MI15o_2006,-12.10259275
MN01o,2006,MN01o_2006,1.596902202
MN02o,2006,MN02o_2006,3.637280209
MN03o,2006,MN03o_2006,1.308440663
MN04o,2006,MN04o_2006,-12.14446222
MN05o,2006,MN05o_2006,-20.64349919
MN06o,2006,MN06o_2006,5.990252806
MN07o,2006,MN07o_2006,6.284402202
MN08o,2006,MN08o_2006,-3.611431132
MO01o,2006,MO01o_2006,-24.72885537
MO02o,2006,MO02o_2006,9.614578969
MO03o,2006,MO03o_2006,-6.831608797
MO04o,2006,MO04o_2006,11.44250288
MO05o,2006,MO05o_2006,-11.20071685
MO06o,2006,MO06o_2006,5.636017848
MO07o,2006,MO07o_2006,14.99580237
MO08o,2006,MO08o_2006,11.63478099
MO09o,2006,MO09o_2006,7.381589173
MS01o,2006,MS01o_2006,10.62467998
MS02o,2006,MS02o_2006,-9.369679863
MS03o,2006,MS03o_2006,14.66508402
MS04o,2006,MS04o_2006,17.02625922
MT01o,2006,MT01o_2006,11.41833077
NC01o,2006,NC01o_2006,-8.062188707
NC02o,2006,NC02o_2006,3.28241309
NC03o,2006,NC03o_2006,15.84522716
NC04o,2006,NC04o_2006,-5.031885677
NC05o,2006,NC05o_2006,16.18023554
NC06o,2006,NC06o_2006,18.20043756
NC07o,2006,NC07o_2006,3.513568868
NC08o,2006,NC08o_2006,3.784925652
NC09o,2006,NC09o_2006,13.1499325
NC10o,2006,NC10o_2006,15.84522716
NC11o,2006,NC11o_2006,7.594376949
NC12o,2006,NC12o_2006,-10.78793867
NC13o,2006,NC13o_2006,-1.496532142
ND01o,2006,ND01o_2006,13.76227353
NE01o,2006,NE01o_2006,12.40016681
NE02o,2006,NE02o_2006,9.822847219
NE03o,2006,NE03o_2006,24.38536374
NH01o,2006,NH01o_2006,1.059960621
NH02o,2006,NH02o_2006,-2.032822884
NJ01o,2006,NJ01o_2006,-13.43059357
NJ02o,2006,NJ02o_2006,-3.03745154
NJ03o,2006,NJ03o_2006,-2.770695091
NJ04o,2006,NJ04o_2006,1.554385195
NJ05o,2006,NJ05o_2006,4.843518107
NJ06o,2006,NJ06o_2006,-10.69051276
NJ07o,2006,NJ07o_2006,1.290218615
NJ08o,2006,NJ08o_2006,-10.8925225
NJ09o,2006,NJ09o_2006,-12.41536514
NJ10o,2006,NJ10o_2006,-33.401004
NJ11o,2006,NJ11o_2006,6.366360747
NJ12o,2006,NJ12o_2006,-6.608880111
NJ13o,2006,NJ13o_2006,-22.06003519
NM01o,2006,NM01o_2006,-1.517358967
NM02o,2006,NM02o_2006,6.656426011
NM03o,2006,NM03o_2006,-5.125606389
NV01o,2006,NV01o_2006,-8.139492356
NV02o,2006,NV02o_2006,8.888568868
NV03o,2006,NV03o_2006,-0.486431132
NY01o,2006,NY01o_2006,-2.548286802
NY02o,2006,NY02o_2006,-7.187462059
NY03o,2006,NY03o_2006,-1.255661901
NY04o,2006,NY04o_2006,-8.649696438
NY05o,2006,NY05o_2006,-16.81296174
NY06o,2006,NY06o_2006,-37.28846159
NY07o,2006,NY07o_2006,-26.89668754
NY08o,2006,NY08o_2006,-26.92622171
NY09o,2006,NY09o_2006,-12.92297935
NY10o,2006,NY10o_2006,-39.71720036
NY11o,2006,NY11o_2006,-38.96810652
NY12o,2006,NY12o_2006,-32.68538401
NY13o,2006,NY13o_2006,0.02377295
NY14o,2006,NY14o_2006,-25.48643113
NY15o,2006,NY15o_2006,-42.19627569
NY16o,2006,NY16o_2006,-42.83336991
NY17o,2006,NY17o_2006,-19.87418623
NY18o,2006,NY18o_2006,-9.369679863
NY19o,2006,NY19o_2006,2.334081689
NY20o,2006,NY20o_2006,3.359722715
NY21o,2006,NY21o_2006,-7.999384499
NY22o,2006,NY22o_2006,-5.173931132
NY23o,2006,NY23o_2006,1.059960621
NY24o,2006,NY24o_2006,1.308440663
NY25o,2006,NY25o_2006,-2.548286802
NY26o,2006,NY26o_2006,4.435848661
NY27o,2006,NY27o_2006,-5.694764465
NY28o,2006,NY28o_2006,-13.88849299
NY29o,2006,NY29o_2006,5.699135879
OH01o,2006,OH01o_2006,1.290218615
OH02o,2006,OH02o_2006,13.98057394
OH03o,2006,OH03o_2006,3.320675467
OH04o,2006,OH04o_2006,14.30948724
OH05o,2006,OH05o_2006,10.73805866
OH06o,2006,OH06o_2006,0.533977032
OH07o,2006,OH07o_2006,6.584275939
OH08o,2006,OH08o_2006,13.28907907
OH09o,2006,OH09o_2006,-8.139492356
OH10o,2006,OH10o_2006,-7.702925977
OH11o,2006,OH11o_2006,-32.11908419
OH12o,2006,OH12o_2006,1.533770889
OH13o,2006,OH13o_2006,-5.81638037
OH14o,2006,OH14o_2006,3.08499744
OH15o,2006,OH15o_2006,1.554385195
