GEO.id,GEO.id2,GEO.display-label,,,,,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC13,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC20,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC24,HC01_EST_VC29,HC01_EST_VC30,HC01_EST_VC33,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC41,HC01_EST_VC42,HC01_EST_VC43,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49,HC01_EST_VC50,HC01_EST_VC51,HC01_EST_VC64,HC01_EST_VC67,HC01_EST_VC68,HC01_EST_VC69,HC01_EST_VC70
Id,Id2,Geography,borough,County,State,Congressional District,TotalPop,Pop1to4,Pop5to17,Pop18to24,Pop25to35,Pop35to45,Pop45to55,Pop55to65,Pop65to75,Pop75Over,MedianAge,Male,Female,RaceBase,White,Black,Asian,Hispanic,WhiteNoHispanic,Native,ForeignBorn,Naturalized,ForeignBornNotCitizen,MaritalBase,NeverMarried,Married,Divorced,Widowed,EducationBase,LessThanHS,HSGrad,SomeCollORAssoc,Bachelors,GradProf,MedianIncome,PovertyBase,PovertyBelow100Prct,Poverty100to149,Poverty150UP
0600000US4200305216,4200305216,"Bell Acres borough, Allegheny County, Pennsylvania",Bell Acres borough, Allegheny County, Pennsylvania,17,1415,57,296,61,61,157,323,231,119,110,46.9,726,689,1394,1312,68,14,7,1309,1337,78,37,41,1137,242,753,83,59,1001,32,252,180,271,266,40758,1409,103,18,1288
0600000US4200305312,4200305312,"Bellevue borough, Allegheny County, Pennsylvania",Bellevue borough, Allegheny County, Pennsylvania,17,8224,326,752,614,1958,954,1144,1408,608,460,38.7,3887,4337,8063,7098,848,63,59,7049,7952,272,73,199,7282,2983,2794,1145,360,6532,415,1836,2026,1495,760,26760,8208,1270,629,6309
0600000US4200305504,4200305504,"Ben Avon borough, Allegheny County, Pennsylvania",Ben Avon borough, Allegheny County, Pennsylvania,17,1764,113,294,73,267,266,254,254,159,84,40.2,810,954,1727,1683,22,8,11,1672,1714,50,36,14,1419,334,858,172,55,1284,28,179,246,420,411,44670,1761,51,53,1657
0600000US4200305520,4200305520,"Ben Avon Heights borough, Allegheny County, Pennsylvania",Ben Avon Heights borough, Allegheny County, Pennsylvania,17,342,4,85,10,27,38,72,53,36,17,46.3,169,173,338,336,0,2,8,328,332,10,5,5,275,51,192,21,11,243,2,19,14,83,125,74375,342,11,0,331
0600000US4200306064,4200306064,"Bethel Park municipality, Allegheny County, Pennsylvania",Bethel Park municipality, Allegheny County, Pennsylvania,18,31931,1205,4778,2148,3701,3541,4971,4878,3602,3107,46.4,15303,16628,31406,30288,399,493,315,30077,30810,1121,644,477,27100,7093,15439,2297,2271,23800,1027,6087,5846,7041,3799,35531,31700,1634,1410,28656
0600000US4200307000,4200307000,"Blawnox borough, Allegheny County, Pennsylvania",Blawnox borough, Allegheny County, Pennsylvania,17,1646,117,210,97,325,163,175,263,195,101,37.2,823,823,1614,1334,45,214,22,1312,1451,195,67,128,1336,492,578,190,76,1222,122,366,330,180,224,24591,1637,197,353,1087
0600000US4200307976,4200307976,"Brackenridge borough, Allegheny County, Pennsylvania",Brackenridge borough, Allegheny County, Pennsylvania,17,3220,210,419,321,470,336,424,325,292,423,38.5,1573,1647,3167,2984,169,14,37,2947,3180,40,23,17,2663,945,966,367,385,2270,186,958,720,224,182,26160,3115,412,251,2452
0600000US4200307992,4200307992,"Braddock borough, Allegheny County, Pennsylvania",Braddock borough, Allegheny County, Pennsylvania,18,1833,26,300,143,214,192,255,324,177,202,46.6,858,975,1694,548,1146,0,36,537,1808,25,12,13,1613,793,290,324,206,1364,220,650,384,74,36,13770,1664,506,425,733
0600000US4200308008,4200308008,"Braddock Hills borough, Allegheny County, Pennsylvania",Braddock Hills borough, Allegheny County, Pennsylvania,18,1654,53,146,169,131,149,313,283,221,189,50.8,831,823,1612,1088,504,8,42,1058,1637,17,9,8,1481,575,490,238,178,1286,95,507,384,197,103,21989,1654,294,161,1199
0600000US4200308064,4200308064,"Bradford Woods borough, Allegheny County, Pennsylvania",Bradford Woods borough, Allegheny County, Pennsylvania,17,1216,66,191,39,101,169,209,189,150,102,46.9,663,553,1213,1189,3,21,26,1166,1163,53,34,19,997,170,687,63,77,920,21,93,179,390,237,46685,1214,27,15,1172
0600000US4200308416,4200308416,"Brentwood borough, Allegheny County, Pennsylvania",Brentwood borough, Allegheny County, Pennsylvania,18,9508,599,1449,762,1568,1272,1271,1319,639,629,36.9,4506,5002,9350,8680,278,257,471,8283,8829,679,86,593,7837,2882,3376,1071,508,6698,536,2038,2266,1410,448,30531,9470,852,1194,7424
0600000US4200308624,4200308624,"Bridgeville borough, Allegheny County, Pennsylvania",Bridgeville borough, Allegheny County, Pennsylvania,18,5075,158,634,293,920,425,988,548,558,551,45.9,2393,2682,4999,4852,70,61,49,4806,4952,123,89,34,4462,1472,1793,795,402,3990,281,1428,1131,779,371,29212,5035,493,363,4179
0600000US4200311336,4200311336,"Carnegie borough, Allegheny County, Pennsylvania",Carnegie borough, Allegheny County, Pennsylvania,17,7771,452,1059,567,1623,754,810,1260,662,584,36.6,3798,3973,7558,6468,1011,60,76,6392,7358,413,260,153,6531,2569,2536,879,547,5693,331,1941,1663,1259,499,28055,7761,1648,779,5334
0600000US4200311680,4200311680,"Castle Shannon borough, Allegheny County, Pennsylvania",Castle Shannon borough, Allegheny County, Pennsylvania,17,8218,178,1074,593,1612,986,1203,1121,904,547,41.7,4184,4034,8057,7515,107,409,190,7363,7496,722,294,428,7241,2405,3427,898,511,6373,364,2401,1689,1411,508,29988,8218,1219,481,6518
