"State","Congressional.District.Number","CD_Name","Under35","Over65","MedianAge","Male","WhiteNoHispanic","Black","Hispanic","ForeignBorn","NeverMarried","Married","LessThanHS","HSGrad","SomeCollORAssoc","Bachelors","GradProf","BachGrad","MedianIncome","Poverty","MedianEarnings_HS","MedianEarnings_Bach","MedianEarnings_HSBach_Diff","Urbanicity","LFPR","Religiosity","Evangelical","RomanCatholic","AvgGOPPres","Veteran","cluster"
"NY",22,"NY22",28.996116830278,21.687805991278,41.3,49.4667822447042,89.9805284551069,4.12761799071716,3.56604523748149,5.23964858953924,34.1294072223252,45.4809865850692,10.8593535859929,34.0895823438209,30.9669427885732,13.856242245187,10.2278790364259,24.084121281613,25622,15.5706355025513,29045,45088,16043,57.1700555,73.1,43.745,4.598,27.139,52,8.91858757354529,"5"
"NY",23,"NY23",30.4069949881307,21.0555241365739,40.7,49.6758290815418,90.7773086925328,2.97459226693327,3.73337524539659,3.95128251499104,33.6083116601647,46.4523732119636,10.5420391297015,34.5207876539045,29.6624641592174,13.0890538033395,12.1856552538371,25.2747090571766,24496,16.4905631223272,28127,41657,13530,44.60340019,71.3,33.191,6.896,13.218,52.05,9.32531659040119,"5"
"NY",24,"NY24",29.505110851308,19.8238105963911,40.2,48.9787281623618,84.8140960594683,8.49237210778483,4.2437839120554,5.73004907143595,35.0683164492123,45.6291596966134,10.2927790006786,29.1926648019728,30.7715860379669,16.9272686648682,12.8157014945135,29.7429701593817,28174,14.6858873996379,30311,49148,18837,72.68892185,75.3,49.014,5.078,30.49,43.2,8.0410965522054,"1"
"NY",25,"NY25",31.3054651271413,19.7877541812003,38.9,48.1809900552301,72.6777552221284,16.1412287377836,8.50244075785064,8.72906483900443,37.8416843095742,43.307457068925,9.77534116452462,24.5282246342692,29.1530357808194,20.4035424608065,16.1398559595802,36.5433984203868,28189,15.0109087329221,27423,49518,22095,95.90958993,77.8,46.35,8.113,25.675,39.25,6.53140883583416,"1"
"NY",26,"NY26",32.2658799921709,20.4075730938984,39,47.7864007797536,71.7907814837887,18.6588496940552,6.13403352293567,7.6815080525427,40.3350054952094,39.4497036632482,10.7986840621893,28.671456243018,30.5174587232124,16.6035686101688,13.4088323614115,30.0124009715803,25921,18.7124687193836,28559,44010,15451,99.62692653,74.6,55.783,5.67,36.757,36.15,7.77610354963812,"7"
"NY",27,"NY27",24.7533258062933,21.465739110921,43.9,49.7345664117083,93.3209943335516,2.57538654289701,2.61311540761411,3.45063664779264,28.7894683294333,52.5282580813025,7.63962843177975,31.7728622918098,31.4500333655506,16.4105360338104,12.7269398770494,29.1374759108598,30903,8.99088867426138,31864,53984,22120,58.31825422,77.6,47.778,6.034,28.955,57.5,8.74208805243288,"5"
"NC",1,"NC01",32.192715638299,18.7815274458097,37.9,47.8634890061446,43.4040948020874,45.967765508621,8.5453834300962,7.13657881529509,38.8355406125712,39.7949895444668,17.86050032108,28.4253393482983,27.7888159497223,15.2689120120138,10.6564323688856,25.9253443808995,22283,22.6800537300039,25435,41823,16388,61.63608744,70.7,42.241,25.748,2.234,30.85,7.3556501302166,"7"
"NC",2,"NC02",26.3086679157668,16.4881211960334,38.4,49.0500892259077,68.768910008395,20.1948051094958,9.49313623351389,7.12119895076468,26.7289417021483,55.3706551830206,10.7052753946218,24.8201984878035,30.5578986809112,22.7680690191859,11.1485584174777,33.9166274366636,30464,11.9076473615106,28661,52047,23386,61.24791056,76.8,41.707,22.854,5.751,54.6,9.57657273605178,"1"
"NC",3,"NC03",33.0567678828551,20.0549805005015,37.3,50.42970720407,69.9089146016879,21.4128066097912,7.64082823159365,4.29423211897379,28.1913659571177,51.8263055793681,12.6340334900118,28.6205362971667,37.1325809505157,14.0174141532837,7.59543510902207,21.6128492623058,25150,15.5246521967005,26639,41631,14992,55.77800612,73.7,40.579,21.945,3.407,59.5,13.8976684868847,"3"
"NC",4,"NC04",37.1766832180505,12.7147634177566,34.5,48.1514397217337,58.484064349184,23.1324088354295,10.4005368884988,15.2927206152788,38.1138066713198,46.1879597174392,8.26648223236442,15.2386308793184,24.2284730587846,30.8713380733962,21.3950757561363,52.2664138295325,32861,12.9749528429523,26492,50621,24129,93.80347026,79.4,45.804,17.271,10.562,31.2,6.08654372011939,"4"
"NC",5,"NC05",28.0767458235751,21.1964166094163,40.8,48.529869890641,74.7244628472816,14.7305552645653,9.33490651861082,6.24310918838091,30.1947166310315,49.8097915302104,15.941779636716,28.9078737899598,29.5549425014585,16.379816677049,9.21558739481673,25.5954040718658,22977,19.6108418526041,26185,42129,15944,54.2130267,72.1,52.105,33.401,2.8,56.95,8.23266142515411,"3"
"NC",6,"NC06",25.6483644257,21.1826566171184,41.2,48.3060533465384,68.1337854837827,20.412951922551,9.78026035114587,7.09364418688687,28.5243575955884,50.1841978811523,16.0389793622754,29.8669119949285,30.9560071279199,15.1597790499457,7.97832246493056,23.1381015148762,24830,17.0871234043483,26928,43643,16715,52.94139571,75,42.327,23.033,2.478,56,8.49666338399664,"3"
"NC",7,"NC07",27.5096870936065,22.1723307412617,41.3,48.7022040478858,69.5427237437854,19.9194031256517,9.26070195975538,6.2693122438474,29.6181247631416,48.4643646010234,15.1968370197026,28.1325960594852,32.7547746659621,16.0391031931758,7.87668906167434,23.9157922548502,22966,19.6114201702847,25737,41253,15516,54.88545795,72.6,43.244,24.609,4.32,56.75,10.3157676743553,"3"
"NC",8,"NC08",31.6413674658736,18.4517482541893,36.5,49.0112422409889,64.1849198065928,23.4716513927168,10.0296563257867,6.18722860111357,28.3809953310696,51.1879576082343,12.0083770053208,27.3679569526138,35.9102979047466,16.528352555688,8.18501558163071,24.7133681373188,26135,15.773448513261,26634,45208,18574,69.95576705,73.9,48.806,28.968,3.405,55.4,13.3422091635295,"3"
"NC",9,"NC09",26.438943579636,18.2922004754386,39.1,48.4861249647312,62.1643650211359,19.9950906667064,7.71389165020051,7.41141079085515,29.5888963117329,51.7025455923263,13.0557465251831,25.3419020574902,28.9537189259204,21.8197578837244,10.828874607682,32.6486324914064,26877,15.9437135994831,27014,52869,25855,64.67902871,73,48.431,28.192,5.442,54.9,8.33012802901258,"3"
"NC",10,"NC10",25.7967923987301,21.474720523875,41.9,48.5116902263111,79.8528210225662,12.237172991289,6.18425436553087,4.87238695646862,28.161023953909,49.5583216714542,15.3945387260622,29.7212370467069,31.7521747669274,15.2871000412041,7.84494941909944,23.1320494603035,23577,16.6394779771615,26417,41336,14919,62.90068487,74.5,58.585,39.435,2.742,59.75,8.74101127262857,"3"
"NC",11,"NC11",23.5973987040415,26.2204670341173,44.9,48.7484771442758,88.299391505382,3.34078184515013,5.92833408370875,4.56476851236328,24.8395697903498,52.4114264812521,15.1643907925488,29.4476536518127,31.7588425216971,14.9886874663095,8.64042556763179,23.6291130339413,22439,17.2693017916854,25801,39414,13613,41.3748613,71,55.034,40.928,2.893,61.4,9.84231516857698,"3"
"NC",12,"NC12",37.2217299902244,11.6280818536404,33.8,48.2014856070103,42.0165072798236,38.1708976862536,14.7717770796831,15.8033539271845,40.861727818026,41.582456960349,12.1689223690433,20.0872761804989,29.4376225908138,25.8632936960294,12.4428851636146,38.306178859644,29223,16.2510742599684,25564,50480,24916,98.91499828,81.4,51.909,22.214,8.557,29.85,6.16116458463563,"7"
